"city","prop_name","url","footage","zipcode","bed","bath","lat","longitude","address","date","price"
"Oakland","LARGE, NICE 2br on sausal Creek w/ garage","http://www.craigslist.org/eby/apa/5420747403.html","950","94602","2","1","37.800629","-122.218738","adell ct at dimond","2016-01-28","$2500"
"Dublin","Bring your pets!! We have a beautiful one bedroom waiting for you!","http://www.craigslist.org/eby/apa/5423783140.html","733","94568","1","1","37.726752","-121.922135","8105 North Lake Drive","2016-01-28","$2025"
"Richmond","1 BR 1 BA Private In-Law Cottage","http://www.craigslist.org/eby/apa/5423781981.html","500","94804","1","1","37.908736","-122.308180","6116 santa cruz ave","2016-01-28","$1600"
"Hayward","Just For You! 2x1 Loft Rare Floor Plan! Vaulted Ceilings! Last One!","http://www.craigslist.org/eby/apa/5423781688.html","851","94544","2","1","37.648098","-122.089102","25200 Santa Clara St","2016-01-28","$2205"
"Dublin","Completely remodeled. .Never lived in. .Perfect for you!","http://www.craigslist.org/eby/apa/5423780768.html","785","94568","1","1","37.723507","-121.911019","7300 Parkwood Circle","2016-01-28","$2200"
"San Ramon","Best Location In San Ramon! Open For Tours 7 Days A Week!","http://www.craigslist.org/eby/apa/5423772628.html","950","94583","2","2","37.756200","-121.952200","309 Springfield Drive","2016-01-28","$2578"
"San Carlos","2BR 2 BA Must See Renovated and Clean Piedmont Avenue","http://www.craigslist.org/eby/apa/5423773596.html","","94070","0","","37.500000","-122.250000","4256 Piedmont","2016-01-28","$2695"
"Berkeley","Avail Now, Stunning 2 BED in Gourmet Ghetto Minutes to UC!!!","http://www.craigslist.org/eby/apa/5419933726.html","","94709","2","1","37.874776","-122.269411","2087 Delaware","2016-01-28","$2795"
"Concord","Very nice 2/2 house - includes gardener","http://www.craigslist.org/eby/apa/5423778556.html","","94521","2","2","37.962955","-122.002739","1381 Janet Lane","2016-01-28","$1900"
"Pleasant Hill","This March Apartment Can be Yours if You Act Fast!","http://www.craigslist.org/eby/apa/5423778496.html","1019","94523","2","2","37.959290","-122.055788","","2016-01-28","$2467"
"Lafayette","House in Lafayette - Crawl to BART","http://www.craigslist.org/eby/apa/5423769931.html","1000","94549","2","1","37.896100","-122.111900","","2016-01-28","$2900"
"Oakland","Newly Renovated 2 BD/1BR , close to Lake Merritt","http://www.craigslist.org/eby/apa/5421013937.html","1100","94602","2","1","37.797647","-122.211394","3430 Laguna Ave","2016-01-28","$2375"
"Richmond","Charming 1 bedroom/ 1 bath available!","http://www.craigslist.org/eby/apa/5423775843.html","704","94806","1","1","37.987574","-122.321088","3400 Richmond Parkway","2016-01-28","$1712"
"Livermore","Special - Call Today - ONLY '1' LEFT","http://www.craigslist.org/eby/apa/5423774739.html","","94551","1","1","37.706329","-121.742663","1550 Springtown Blvd","2016-01-28","$1875"
"Livermore","Get It Before It's Gone! Beautiful 1BR Apartment Available Soon!","http://www.craigslist.org/eby/apa/5423763579.html","610","94551","1","1","37.695040","-121.780817","1700 Paseo Laguna Seco","2016-01-28","$1805"
"Pittsburg","Updated cabinets in selected units, Assigned parking space","http://www.craigslist.org/eby/apa/5423773831.html","708","94565","1","1","38.008321","-121.864673","2205 E. Leland Rd","2016-01-28","$1691"
"Vallejo","Large 4 Bedrooms, 2.5 Baths in Vallejo","http://www.craigslist.org/eby/apa/5414856756.html","1750","94590","4","2.5","38.105300","-122.247400","","2016-01-28","$2300"
"San Ramon","$99 Deposit $1000 Gift Card PLUS a HUGE storage space!","http://www.craigslist.org/eby/apa/5423751295.html","575","94583","1","1","37.778320","-121.983673","1700 Promontory Lane","2016-01-28","$1794"
"Walnut Creek","Perfect One Bedroom Close to downtown Walnut Creek","http://www.craigslist.org/eby/apa/5423770568.html","650","94596","1","1","37.884124","-122.050473","1390 Creekside Dr.","2016-01-28","$1650"
"Walnut Creek","Ideal Location In Walnut Creek","http://www.craigslist.org/eby/apa/5423769358.html","650","94596","1","1","37.905300","-122.054900","","2016-01-28","$1650"
"Union City","FREE COMCAST CABLE w/ HBO **Upstairs**","http://www.craigslist.org/eby/apa/5411836889.html","803","94587","2","1","37.583435","-122.022972","Decoto Rd at Perry Rd","2016-01-28","$2100"
"Alameda","1BD and WE SPEAK WOOF! Bring your Furry Friends to South Shore","http://www.craigslist.org/eby/apa/5423768167.html","700","94501","1","1","37.764228","-122.272280","901 Shorepoint Court","2016-01-28","$2054"
"Pleasanton","Water, Sewer, Gas & Trash Included-Apply today","http://www.craigslist.org/eby/apa/5423766971.html","670","94566","1","1","37.683442","-121.876521","2451 Santa Rita Road","2016-01-28","$1998"
"Hayward","Landscaped Courtyard, Assigned Covered Parking, Window Covering","http://www.craigslist.org/eby/apa/5423766069.html","950","94544","2","2","37.635407","-122.055037","","2016-01-28","$2342"
"Fremont","Come Home to Oak Pointe Apartments","http://www.craigslist.org/eby/apa/5423765598.html","895","94538","2","1","37.530800","-121.971200","","2016-01-28","$2295"
"Newark","Duchess style 2bed 2bath/ Second floor","http://www.craigslist.org/eby/apa/5423765177.html","1008","94560","2","2","37.534536","-122.042773","Sycamore street","2016-01-28","$2808"
"Emeryville","Right Around The Corner, Near Everything Is Where You Want To Be !","http://www.craigslist.org/eby/apa/5423765015.html","844","94608","1","1","37.846257","-122.292123","","2016-01-28","$2785"
"Alameda","Newly renovated 2 bed / 1 bath apartment in beautiful, quiet building","http://www.craigslist.org/eby/apa/5423764940.html","755","94501","2","1","37.770495","-122.257611","1704 Central Avenue","2016-01-28","$1945"
"Dublin","Elan Condo,Private 2 car garage. Walk to BART/SHOWING THIS WEEKEND","http://www.craigslist.org/eby/apa/5423764879.html","1058","94568","2","2","37.716600","-121.922600","de marcus at dublin blvd","2016-01-28","$2695"
"Vallejo","5 Bedroom 2 Bath home 2600 sq feet","http://www.craigslist.org/eby/apa/5419538695.html","","94590","5","2","38.105300","-122.247400","tennessee st at sacramento","2016-01-28","$2400"
"San Lorenzo","$1100 / 1br - 1Bdr Apart, Very Nice","http://www.craigslist.org/eby/apa/5423762998.html","","94580","1","1","37.678700","-122.129500","","2016-01-28","$1100"
"Walnut Creek","2nd Floor Unique Floor Plan, 1 Bed, 1.5 Baths, Quiet and View of the C","http://www.craigslist.org/eby/apa/5423761928.html","791","94596","1","1.5","37.912878","-122.065474","2383 N. Main Street","2016-01-28","$2502"
"Martinez","martinez one bedroom cottege veary cozy","http://www.craigslist.org/eby/apa/5423760971.html","8500","94553","1","1","37.986400","-122.135000","Monterey ave 2421","2016-01-28","$1300"
"Hercules","Nice house in Hercules","http://www.craigslist.org/eby/apa/5423760892.html","1700","94547","3","2","38.006600","-122.263700","sporrow","2016-01-28","$2800"
"Berkeley","Lovely 2 bedroom/ 1 bath available","http://www.craigslist.org/eby/apa/5423705314.html","","94705","2","1","37.857100","-122.250000","","2016-01-28","$1800"
"Fremont","Beautiful and Bright Corner Apt. Available 1/28-2/5 Move In!!!","http://www.craigslist.org/eby/apa/5423737542.html","800","94538","2","1","37.534536","-121.967171","Bay Street at Grimmer","2016-01-28","$2283"
"Concord","Spacious floor plan; new flooring; pets welcome","http://www.craigslist.org/eby/apa/5423758226.html","1150","94518","2","2","37.961963","-122.025310","","2016-01-28","$2187"
"Fremont","LUXURY 2BR/2BA APARTMENT LARGE SPACE SMALL RATE!!!","http://www.craigslist.org/eby/apa/5423757438.html","1126","94536","2","2","37.559978","-121.977566","38680 Waterside Cir","2016-01-28","$2905"
"Oakland","1 Private Bedroom Available in home.","http://www.craigslist.org/eby/apa/5423756456.html","","94603","1","1","37.740200","-122.171000","","2016-01-28","$900"
"Walnut Creek","4th Floor, 1 Bed, 1 Bath, 759 sq. ft. of Living Space, Open Floor Plan","http://www.craigslist.org/eby/apa/5423755730.html","759","94596","1","1","37.912878","-122.065474","2383 N. Main Street","2016-01-28","$2429"
